case,n_bus,n_l,n_DF,free_dim_s,n_actions,placement_time_s,library_time_s,max_hide_error,valid_action_ratio,strict_rule_ok,strict_cycle_mode,Robust-MTD_plan_time_ms,MS-HIDE_plan_time_ms
case14,14,20,13,5,10,0.00081941595999524,0.40230637503555045,2.6645352591003757e-15,1.0,False,False,0.6660565687343478,56.71076022728812
case57,57,80,51,21,40,0.0034049999667331576,15.988408582983539,7.105427357601002e-15,1.0,False,False,14.454702306102263,122.58174604183296
case118,118,186,118,41,40,0.011876083037350327,40.92875704204198,1.7763568394002505e-14,1.0,False,False,32.57404268719256,393.1135747747612
