attack_flag,h_true,c_true,detected,tau_detect,tau_detect_censored,false_alarm,h_hat_final,id_correct,final_entropy,final_ampvar,cumulative_act_cost,planner_runtime_ms_mean,planner_runtime_ms_p95,max_hide_error,algorithm,episode_id,case,attack_mag
True,26,-0.01,False,20,20,False,0,False,0.5971817734840822,0.33910308517990767,0.6449621867960693,24.980731357936747,31.924516920116734,0.0,HMTD-MDE,0,case57,0.01
True,49,-0.01,False,20,20,False,0,False,0.6148040859649554,0.2912114870069527,0.6449621867960693,30.910435449914075,62.24785415397493,0.0,HMTD-MDE,1,case57,0.01
True,53,-0.01,False,20,20,False,51,False,0.21159852930051135,0.019040824453965106,0.6449621867960693,27.135183199425228,35.415660424041576,0.0,HMTD-MDE,2,case57,0.01
True,37,0.01,False,20,20,False,44,False,0.22042558007712787,0.05587222866392053,0.6449621867960693,31.414749997202307,47.338195849442876,0.0,HMTD-MDE,3,case57,0.01
True,46,0.01,True,17,17,False,0,False,0.5722160171394135,0.36375297565990977,0.6449621867960693,38.51119805476628,71.58002500073054,0.0,HMTD-MDE,4,case57,0.01
True,17,0.01,False,20,20,False,0,False,0.6160272835363132,0.32748999888159824,0.6449621867960693,24.04565204924438,31.891195874777623,0.0,HMTD-MDE,5,case57,0.01
True,24,0.01,False,20,20,False,31,False,0.44366824937505617,0.025830367349564728,0.6449621867960693,27.355735350283794,37.42908926506062,0.0,HMTD-MDE,6,case57,0.01
True,3,0.01,False,20,20,False,2,False,0.13945106171758134,0.004655346252342828,0.6449621867960693,29.425151995383203,46.15024343947883,0.0,HMTD-MDE,7,case57,0.01
True,8,-0.01,True,1,1,False,8,True,3.8671819781197475e-10,0.00028489480589777717,0.6449621867960693,34.99060834583361,72.77586701093244,0.0,HMTD-MDE,8,case57,0.01
True,22,0.01,False,20,20,False,17,False,0.6073898348672523,0.22062113072834327,0.6449621867960693,34.923997905571014,47.16902051004582,0.0,HMTD-MDE,9,case57,0.01
True,29,-0.01,False,20,20,False,33,False,0.6301479356815944,0.19774670488994206,0.6449621867960693,24.057239695684984,30.86732140218374,0.0,HMTD-MDE,10,case57,0.01
True,28,-0.01,False,20,20,False,0,False,0.6340678919003238,0.29619743748179084,0.6449621867960693,26.199589445604943,34.02994160715025,0.0,HMTD-MDE,11,case57,0.01
True,8,0.01,True,1,1,False,8,True,3.8671819781197475e-10,0.00028489480589777717,0.6449621867960693,32.78980014147237,67.92943367618139,0.0,HMTD-MDE,12,case57,0.01
True,28,-0.01,False,20,20,False,0,False,0.5374072731085942,0.378745864239567,0.6449621867960693,25.82274364249315,41.201669035945095,0.0,HMTD-MDE,13,case57,0.01
True,22,0.01,False,20,20,False,0,False,0.6050241339702697,0.34711342894626146,0.6449621867960693,27.566325094085187,39.58634403243195,0.0,HMTD-MDE,14,case57,0.01
True,26,0.01,False,20,20,False,0,False,0.577054473212722,0.3458785136674698,0.6449621867960693,23.025739661534317,30.574927112320438,0.0,HMTD-MDE,15,case57,0.01
True,40,-0.01,False,20,20,False,40,True,0.039569832841218164,0.018151601103092826,0.6449621867960693,25.33505215542391,34.598339241347276,0.0,HMTD-MDE,16,case57,0.01
True,1,-0.01,False,20,20,False,0,False,0.6452997281716862,0.3303421736051846,0.6449621867960693,24.747060443041846,35.29737355711406,0.0,HMTD-MDE,17,case57,0.01
True,37,-0.01,False,20,20,False,44,False,0.2120510003574635,0.05783926325789721,0.6449621867960693,27.142260497203097,36.011314878123834,0.0,HMTD-MDE,18,case57,0.01
True,42,-0.01,False,20,20,False,42,True,0.38236933100737286,0.14508496142705207,0.6449621867960693,30.863566751941107,54.7483669477515,0.0,HMTD-MDE,19,case57,0.01
