attack_flag,h_true,c_true,detected,tau_detect,tau_detect_censored,false_alarm,h_hat_final,id_correct,final_entropy,final_ampvar,cumulative_act_cost,planner_runtime_ms_mean,planner_runtime_ms_p95,max_hide_error,algorithm,episode_id,case
True,6,-0.04,True,12,12,False,6,True,0.1990884072687032,0.14676195281638887,1.3019884434962008,0.5163541965885088,0.7210458541521804,0.0,HMTD-MDE,0,case14
True,12,-0.04,True,1,1,False,13,False,0.26264953516031964,0.0009101156775934696,1.3019884434962008,0.7281834055902436,1.3348215055884802,0.0,HMTD-MDE,1,case14
True,13,-0.04,True,1,1,False,13,True,0.2626495351603197,0.0009101156775934696,1.3019884434962008,0.6797355017624795,0.7964565622387454,0.0,HMTD-MDE,2,case14
True,9,0.04,True,1,1,False,9,True,0.3308679206971033,0.0007576202184627998,1.3019884434962008,0.3940227965358645,0.44417703757062565,0.0,HMTD-MDE,3,case14
True,11,0.04,False,20,20,False,0,False,0.5090567928241782,0.3687429468833163,1.3019884434962008,0.8891040546586737,1.0313062550267234,0.0,HMTD-MDE,4,case14
True,4,0.04,True,7,7,False,4,True,1.3724327576602275e-10,0.018648418902677048,1.3019884434962008,1.2197292468044907,4.4287544937105885,0.0,HMTD-MDE,5,case14
True,6,0.04,False,20,20,False,0,False,0.561586108931232,0.3348569622592236,1.3019884434962008,0.3959749359637499,0.6083500222302973,0.0,HMTD-MDE,6,case14
True,1,0.04,False,20,20,False,1,True,3.224921781289523e-07,0.024636089060005043,1.3019884434962008,0.7005792605923489,0.7894503214629367,0.0,HMTD-MDE,7,case14
True,2,-0.04,True,19,19,False,2,True,0.007287689016090393,0.019675238088936377,1.3019884434962008,1.159637447563,1.5145812707487556,0.0,HMTD-MDE,8,case14
True,5,0.04,True,1,1,False,5,True,2.8195139639231114e-09,0.0006006348312859814,1.3019884434962008,0.40858739521354437,0.6219395465450364,0.0,HMTD-MDE,9,case14
True,7,-0.04,False,20,20,False,0,False,0.5259136635518372,0.3635176894130111,1.3019884434962008,0.7726022566203028,0.9226440131897127,0.0,HMTD-MDE,10,case14
True,7,-0.04,False,20,20,False,0,False,0.48784048743969294,0.3780829277885519,1.3019884434962008,0.9292292059399188,3.1935848179273325,0.0,HMTD-MDE,11,case14
True,2,0.04,False,20,20,False,2,True,0.01065184060935221,0.019667795642665496,1.3019884434962008,0.49058959702961147,0.5705910560209306,0.0,HMTD-MDE,12,case14
True,7,-0.04,False,20,20,False,0,False,0.49371345702372005,0.375668933303656,1.3019884434962008,0.6110542512033135,0.7890875102020801,0.0,HMTD-MDE,13,case14
True,6,0.04,False,20,20,False,0,False,0.5446246340798618,0.30306382812823274,1.3019884434962008,0.5723522102925926,0.714662839891389,0.0,HMTD-MDE,14,case14
True,6,0.04,False,20,20,False,6,True,0.3947216483993034,0.20035392116698786,1.3019884434962008,0.4092624963959679,0.7753901823889464,0.0,HMTD-MDE,15,case14
True,10,-0.04,True,1,1,False,9,False,0.3750586944075076,0.0007646304194197934,1.3019884434962008,0.666847758111544,0.8795420464593933,0.0,HMTD-MDE,16,case14
True,1,-0.04,False,20,20,False,1,True,1.409010476127556e-10,0.024636086669509085,1.3019884434962008,0.9693791944300756,2.2208045294974026,0.0,HMTD-MDE,17,case14
True,9,-0.04,True,1,1,False,8,False,0.35568638740300995,0.0007686822117618374,1.3019884434962008,0.5304456572048366,0.7189332915004346,0.0,HMTD-MDE,18,case14
True,10,-0.04,True,1,1,False,9,False,0.3442076772174728,0.0007580352467679567,1.3019884434962008,0.5898186995182186,0.7597743184305729,0.0,HMTD-MDE,19,case14
True,8,0.04,True,1,1,False,9,False,0.37041750910392457,0.0007627510326779156,1.3019884434962008,0.801662597223185,1.049825592781419,0.0,HMTD-MDE,20,case14
True,5,0.04,True,1,1,False,5,True,1.5200403202559604e-10,0.0006006348312306367,1.3019884434962008,0.5460625397972763,0.7386524230241776,0.0,HMTD-MDE,21,case14
True,11,0.04,False,20,20,False,0,False,0.5769816245572392,0.3349292578066426,1.3019884434962008,1.1570563074201345,4.010887481854299,0.0,HMTD-MDE,22,case14
True,10,0.04,True,1,1,False,9,False,0.37709376476374457,0.0007640403509708069,1.3019884434962008,1.0417145414976403,2.7937722828937717,0.0,HMTD-MDE,23,case14
True,13,-0.04,True,1,1,False,13,True,0.2626495351603197,0.0009101156775934696,1.3019884434962008,0.5694730061804876,0.6786708137951794,0.0,HMTD-MDE,24,case14
True,13,0.04,True,1,1,False,12,False,0.26264953516031964,0.0009101156775934696,1.3019884434962008,1.1406751465983689,3.505235712509604,0.0,HMTD-MDE,25,case14
True,12,0.04,True,1,1,False,13,False,0.26264953516031964,0.0009101156775934696,1.3019884434962008,0.7039291580440477,0.8500714553520083,0.0,HMTD-MDE,26,case14
