attack_flag,h_true,c_true,detected,tau_detect,tau_detect_censored,false_alarm,h_hat_final,id_correct,final_entropy,final_ampvar,cumulative_act_cost,planner_runtime_ms_mean,planner_runtime_ms_p95,max_hide_error,algorithm,episode_id,case,eta_x
True,3,0.04,True,14,14,False,3,True,0.14925761928980077,0.035607758098059744,0.5788272130587518,31.01779569988139,48.39783716888635,0.0,HMTD-MDE,37,case57,0.03
True,6,0.04,False,20,20,False,6,True,0.0199604356823282,0.022785566656609194,0.5788272130587518,32.33390209788922,41.27102711936459,0.0,HMTD-MDE,38,case57,0.03
True,51,-0.04,False,20,20,False,0,False,0.8111415335906609,0.38204529898311085,0.5788272130587518,31.72320004669018,43.43960416154006,0.0,HMTD-MDE,39,case57,0.03
True,17,0.04,False,20,20,False,0,False,0.7952372970277128,0.4214689093643298,0.5788272130587518,34.804525051731616,73.40067777549848,0.0,HMTD-MDE,40,case57,0.03
True,49,-0.04,False,20,20,False,50,False,0.29676454466888985,0.10035733910267422,0.5788272130587518,28.437187647796236,36.29664821201006,0.0,HMTD-MDE,41,case57,0.03
True,19,-0.04,False,20,20,False,19,True,0.3540014251856572,0.1315375744718016,0.5788272130587518,30.155125143937767,43.824729160405695,0.0,HMTD-MDE,42,case57,0.03
True,31,0.04,False,20,20,False,0,False,0.7765467054607721,0.4285026510252675,0.5788272130587518,30.727233350626193,41.15287356544287,0.0,HMTD-MDE,43,case57,0.03
True,55,0.04,False,20,20,False,55,True,0.1836122754950889,0.015546959965020864,0.5788272130587518,28.49859999259934,39.94185414048843,0.0,HMTD-MDE,44,case57,0.03
True,2,0.04,False,20,20,False,3,False,0.17062081921624989,0.03768551164134205,0.5788272130587518,31.65555218874942,53.515591082396,0.0,HMTD-MDE,45,case57,0.03
True,34,-0.04,False,20,20,False,0,False,0.7833900838495153,0.4332985630578535,0.5788272130587518,29.11399379663635,40.81403152958956,0.0,HMTD-MDE,46,case57,0.03
True,14,-0.04,False,20,20,False,14,True,0.5233244869824362,0.21616897997123563,0.5788272130587518,27.29570420633536,36.58575592271519,0.0,HMTD-MDE,47,case57,0.03
True,1,0.04,False,20,20,False,0,False,0.7819179425309623,0.4407261652062745,0.5788272130587518,30.36967719963286,44.33518811711111,0.0,HMTD-MDE,48,case57,0.03
True,34,-0.04,False,20,20,False,0,False,0.7911320761824918,0.42153588278776144,0.5788272130587518,31.75815839786082,43.95371490682013,0.0,HMTD-MDE,49,case57,0.03
True,40,-0.04,False,20,20,False,0,False,0.8397931011699872,0.3585476070150832,0.5788272130587518,28.504381197853945,43.444252701010555,0.0,HMTD-MDE,50,case57,0.03
True,27,-0.04,False,20,20,False,0,False,0.8103077773101127,0.4115634863732243,0.5788272130587518,32.29770610341802,49.73640559765046,0.0,HMTD-MDE,51,case57,0.03
True,44,-0.04,False,20,20,False,0,False,0.7897827945288386,0.40985747200571554,0.5788272130587518,28.598318656440824,44.44731250987388,0.0,HMTD-MDE,52,case57,0.03
True,1,0.04,False,20,20,False,0,False,0.7898315688532673,0.40565745174298096,0.5788272130587518,30.592585349222645,48.42936460045168,0.0,HMTD-MDE,53,case57,0.03
True,20,-0.04,False,20,20,False,20,True,0.6426070977614586,0.2405627657914372,0.5788272130587518,33.43513129511848,57.18651311472059,0.0,HMTD-MDE,54,case57,0.03
True,41,-0.04,False,20,20,False,55,False,0.13260855817670558,0.014609280567457528,0.5788272130587518,29.807647853158414,55.188774701673545,0.0,HMTD-MDE,55,case57,0.03
True,25,0.04,False,20,20,False,0,False,0.7872101812014587,0.3812303978510479,0.5788272130587518,30.526060500415042,50.08599827124272,0.0,HMTD-MDE,56,case57,0.03
True,33,0.04,False,20,20,False,0,False,0.8218676674361871,0.3847991985784228,0.5788272130587518,34.4391690014163,54.27683932357469,0.0,HMTD-MDE,57,case57,0.03
True,42,-0.04,False,20,20,False,0,False,0.8083491457958988,0.413963118959468,0.5788272130587518,32.47485630272422,58.31979404320011,0.0,HMTD-MDE,58,case57,0.03
True,21,0.04,False,20,20,False,0,False,0.7814179238623106,0.42951406308167517,0.5788272130587518,29.56844784785062,55.10998923855369,0.0,HMTD-MDE,59,case57,0.03
True,36,-0.04,True,12,12,False,36,True,0.0889900309580351,0.011839175098082152,0.5788272130587518,27.23840620019473,40.35203892854043,0.0,HMTD-MDE,60,case57,0.03
True,46,0.04,False,20,20,False,0,False,0.7914795327957294,0.39033830017156107,0.5788272130587518,29.0770895924652,44.53318720043172,0.0,HMTD-MDE,61,case57,0.03
True,56,0.04,False,20,20,False,0,False,0.7937600991466004,0.42559534614455663,0.5788272130587518,26.38166880060453,38.06116009654943,0.0,HMTD-MDE,62,case57,0.03
True,8,-0.04,True,2,2,False,8,True,3.8671819781197475e-10,0.006145422786619424,0.5788272130587518,31.350912604830228,57.29955626011362,0.0,HMTD-MDE,63,case57,0.03
True,2,0.04,False,20,20,False,2,True,0.15199271604074618,0.040810229493345014,0.5788272130587518,32.2685538965743,59.047400002600625,0.0,HMTD-MDE,64,case57,0.03
True,43,0.04,False,20,20,False,43,True,0.5958898208527512,0.24527247736994465,0.5788272130587518,31.00228740077,44.15357738325839,0.0,HMTD-MDE,65,case57,0.03
True,11,0.04,True,1,1,False,11,True,3.8671819781197517e-10,0.006476937030498863,0.5788272130587518,33.32986260065809,59.367258951533614,0.0,HMTD-MDE,66,case57,0.03
True,7,0.04,False,20,20,False,0,False,0.8166655249946475,0.4085351284815205,0.5788272130587518,30.64926865918096,47.59696277033072,0.0,HMTD-MDE,67,case57,0.03
True,7,-0.04,False,20,20,False,0,False,0.8147213981698566,0.3186496092349851,0.5788272130587518,36.43640430527739,66.07611461367924,0.0,HMTD-MDE,68,case57,0.03
True,51,-0.04,False,20,20,False,0,False,0.8067910558660276,0.42122127074092053,0.5788272130587518,32.86677285213955,43.498747280682444,0.0,HMTD-MDE,69,case57,0.03
True,12,-0.04,True,1,1,False,12,True,3.8671819781197475e-10,0.0022526340933676186,0.5788272130587518,30.207341790082864,52.53979402768891,0.0,HMTD-MDE,70,case57,0.03
True,17,-0.04,False,20,20,False,0,False,0.8101711035985785,0.41285255769830986,0.5788272130587518,31.592770808492787,43.52270834497177,0.0,HMTD-MDE,71,case57,0.03
True,35,0.04,True,16,16,False,35,True,0.16595809613041088,0.011486496361605624,0.5788272130587518,30.31534180045128,41.37848814425524,0.0,HMTD-MDE,72,case57,0.03
True,37,0.04,False,20,20,False,37,True,0.19259649611370838,0.10125063407535699,0.5788272130587518,30.983826995361596,41.10773508436978,0.0,HMTD-MDE,73,case57,0.03
True,11,0.04,True,1,1,False,11,True,3.8671819781197475e-10,0.006476937030498863,0.5788272130587518,31.822237503365617,42.14717117429246,0.0,HMTD-MDE,74,case57,0.03
True,43,-0.04,False,20,20,False,43,True,0.17647943423464255,0.099165311050043,0.5788272130587518,30.59288554941304,46.28255559655374,0.0,HMTD-MDE,75,case57,0.03
True,39,0.04,False,20,20,False,0,False,0.7920562191551143,0.4204913982378463,0.5788272130587518,27.17919174756389,37.852660761564046,0.0,HMTD-MDE,76,case57,0.03
True,41,-0.04,True,8,8,False,55,False,0.17084469333044622,0.013917684688460174,0.5788272130587518,32.81553538690787,48.165075265569634,0.0,HMTD-MDE,77,case57,0.03
True,11,-0.04,True,2,2,False,11,True,3.8671819781197475e-10,0.006476937030498863,0.5788272130587518,32.1563645004062,54.65175626159183,0.0,HMTD-MDE,78,case57,0.03
True,24,0.04,True,19,19,False,0,False,0.7990839640116922,0.4101704851497439,0.5788272130587518,32.545958351693116,53.18094404065055,0.0,HMTD-MDE,79,case57,0.03
True,26,-0.04,False,20,20,False,0,False,0.7949490014107579,0.4058006320056924,0.5788272130587518,28.191039647208527,40.99413507210558,0.0,HMTD-MDE,80,case57,0.03
True,37,0.04,False,20,20,False,0,False,0.7821248765587457,0.426900642922269,0.5788272130587518,29.37644999474287,44.98889134556522,0.0,HMTD-MDE,81,case57,0.03
True,26,-0.04,False,20,20,False,0,False,0.7763023311447863,0.4401222081845459,0.5788272130587518,33.66732920112554,54.85251632344445,0.0,HMTD-MDE,82,case57,0.03
True,20,-0.04,False,20,20,False,20,True,0.2383105820030225,0.07907956905414482,0.5788272130587518,36.21898940473329,65.1186457631411,0.0,HMTD-MDE,83,case57,0.03
True,54,0.04,False,20,20,False,0,False,0.7856082050858431,0.43033993173883334,0.5788272130587518,33.23628339567222,58.13512085005642,0.0,HMTD-MDE,84,case57,0.03
True,31,0.04,False,20,20,False,0,False,0.810967704961225,0.38510918710722675,0.5788272130587518,31.815529000596143,64.1023038275307,0.0,HMTD-MDE,85,case57,0.03
True,28,0.04,False,20,20,False,0,False,0.7863957636882828,0.4192820077913483,0.5788272130587518,32.4916310433764,52.49677228275687,0.0,HMTD-MDE,86,case57,0.03
True,26,-0.04,False,20,20,False,0,False,0.7981281343078522,0.36894576216815844,0.5788272130587518,31.239966847351752,43.44931943051052,0.0,HMTD-MDE,87,case57,0.03
True,17,-0.04,False,20,20,False,38,False,0.6968711504579747,0.2859766172225038,0.5788272130587518,31.393514544470236,42.47809166263324,0.0,HMTD-MDE,88,case57,0.03
True,55,-0.04,True,10,10,False,55,True,0.1707056105768071,0.014395655577003435,0.5788272130587518,29.179860491422005,40.92015146743506,0.0,HMTD-MDE,89,case57,0.03
True,11,0.04,True,1,1,False,11,True,3.8671819781197475e-10,0.006476937030498863,0.5788272130587518,28.23337495501619,39.99018327740487,0.0,HMTD-MDE,90,case57,0.03
True,48,-0.04,False,20,20,False,48,True,0.018210697333178424,0.02631214292823407,0.5788272130587518,30.977541545871645,48.67654940462671,0.0,HMTD-MDE,91,case57,0.03
True,50,-0.04,False,20,20,False,50,True,0.13032380740409302,0.061597356296944225,0.5788272130587518,32.608587603317574,53.62775860703553,0.0,HMTD-MDE,92,case57,0.03
True,53,-0.04,False,20,20,False,53,True,0.18270872082930736,0.036528622366871405,0.5788272130587518,30.222549955942668,52.65340001496952,0.0,HMTD-MDE,93,case57,0.03
True,43,0.04,False,20,20,False,37,False,0.2323143046305681,0.11248911141313406,0.5788272130587518,33.778643648838624,69.05798722291367,0.0,HMTD-MDE,94,case57,0.03
True,40,-0.04,False,20,20,False,40,True,0.20991480185615524,0.09524192998221322,0.5788272130587518,33.133333394653164,55.35137287515682,0.0,HMTD-MDE,95,case57,0.03
True,10,-0.04,False,20,20,False,10,True,3.867181428929176e-10,0.011443192494109071,0.5788272130587518,27.924800003529526,37.062210458680056,0.0,HMTD-MDE,96,case57,0.03
True,14,0.04,False,20,20,False,14,True,0.22441266919632388,0.10512644090824987,0.5788272130587518,28.2743853982538,50.06811846396886,0.0,HMTD-MDE,97,case57,0.03
True,53,-0.04,False,20,20,False,52,False,0.23012190470220512,0.05175563550280282,0.5788272130587518,32.16389984590933,44.707891630241654,0.0,HMTD-MDE,98,case57,0.03
True,49,-0.04,False,20,20,False,49,True,0.6336587168244006,0.22508614621744039,0.5788272130587518,29.762345805647783,46.55072739406026,0.0,HMTD-MDE,99,case57,0.03
True,56,0.04,False,20,20,False,0,False,0.7757011748091013,0.3060479854629263,0.5788272130587518,33.51003534044139,55.733699665870525,0.0,HMTD-MDE,100,case57,0.03
True,17,-0.04,False,20,20,False,20,False,0.7219291159885611,0.29449795345395713,0.5788272130587518,28.133827101555653,44.75547526380979,0.0,HMTD-MDE,101,case57,0.03
True,12,0.04,True,1,1,False,12,True,3.8671819781197475e-10,0.0022526340933676186,0.5788272130587518,29.778608251945116,39.36224761418998,0.0,HMTD-MDE,102,case57,0.03
True,48,-0.04,False,20,20,False,48,True,0.006849010289435852,0.026090672219587534,0.5788272130587518,30.375056253978983,48.788075553602546,0.0,HMTD-MDE,103,case57,0.03
True,31,0.04,False,20,20,False,0,False,0.7668636098146081,0.3110825608140771,0.5788272130587518,30.691614496754482,57.30047682009174,0.0,HMTD-MDE,104,case57,0.03
True,31,0.04,False,20,20,False,0,False,0.7909293230508324,0.4152815181895641,0.5788272130587518,34.83172489795834,53.476560724084294,0.0,HMTD-MDE,105,case57,0.03
True,41,-0.04,False,20,20,False,55,False,0.1690382572739689,0.01406556415773251,0.5788272130587518,31.95718975039199,52.47980240674225,0.0,HMTD-MDE,106,case57,0.03
True,16,-0.04,False,20,20,False,0,False,0.7751563429196185,0.44056888919162085,0.5788272130587518,32.697993848705664,68.63540420017671,0.0,HMTD-MDE,107,case57,0.03
True,20,0.04,False,20,20,False,20,True,0.30655023654785035,0.09947469217370357,0.5788272130587518,29.186708337510936,39.02555146196393,0.0,HMTD-MDE,108,case57,0.03
True,50,0.04,False,20,20,False,48,False,0.25058420242101026,0.054646040786917253,0.5788272130587518,30.747879145201296,48.77771456958726,0.0,HMTD-MDE,109,case57,0.03
True,17,0.04,False,20,20,False,0,False,0.795225007337295,0.4234964394923625,0.5788272130587518,31.103804204030894,49.15034998266493,0.0,HMTD-MDE,110,case57,0.03
True,41,0.04,True,1,1,False,41,True,0.17132534601432003,0.013727146670343356,0.5788272130587518,30.53712499095127,43.06683959148359,0.0,HMTD-MDE,111,case57,0.03
True,15,0.04,False,20,20,False,0,False,0.7937744266022461,0.4268091074878141,0.5788272130587518,28.3371563476976,40.28196072904394,0.0,HMTD-MDE,112,case57,0.03
True,12,-0.04,True,1,1,False,12,True,3.8671819781197475e-10,0.0022526340933676186,0.5788272130587518,34.87889145035297,61.59010798146483,0.0,HMTD-MDE,113,case57,0.03
True,33,-0.04,False,20,20,False,0,False,0.7751296499523367,0.33047276193889646,0.5788272130587518,31.154943650471978,55.645037215435885,0.0,HMTD-MDE,114,case57,0.03
True,8,0.04,True,1,1,False,8,True,3.867181978119748e-10,0.006145422786619424,0.5788272130587518,34.75191665056627,64.09239022177645,0.0,HMTD-MDE,115,case57,0.03
True,16,-0.04,False,20,20,False,0,False,0.7802550988150211,0.4329183616818234,0.5788272130587518,30.46884174400475,40.10527502687183,0.0,HMTD-MDE,116,case57,0.03
True,46,-0.04,False,20,20,False,0,False,0.7860860871163984,0.4072913939953573,0.5788272130587518,39.21343325055204,70.97207702172456,0.0,HMTD-MDE,117,case57,0.03
True,8,-0.04,True,6,6,False,8,True,3.892871019185107e-10,0.006145422786617946,0.5788272130587518,33.75852309691254,56.71636074548589,0.0,HMTD-MDE,118,case57,0.03
True,20,0.04,False,20,20,False,20,True,0.20040228209181918,0.06278188369013239,0.5788272130587518,32.61055830807891,68.64910353615416,0.0,HMTD-MDE,119,case57,0.03
True,52,-0.04,False,20,20,False,53,False,0.27993484574620625,0.0768478195224516,0.5788272130587518,31.5133396507008,48.0290437146323,0.0,HMTD-MDE,120,case57,0.03
True,9,-0.04,False,20,20,False,49,False,0.5004706989562687,0.12125093196876693,0.5788272130587518,28.83864370523952,39.40307882148773,0.0,HMTD-MDE,121,case57,0.03
True,21,0.04,False,20,20,False,0,False,0.7856455347796393,0.43071998010497453,0.5788272130587518,32.43005000113044,46.219335697242066,0.0,HMTD-MDE,122,case57,0.03
True,43,0.04,False,20,20,False,43,True,0.17538380808025705,0.09891933963013111,0.5788272130587518,34.88434574683197,65.19336277560797,0.0,HMTD-MDE,123,case57,0.03
True,18,-0.04,True,9,9,False,0,False,0.8285360632443617,0.37859948694646706,0.5788272130587518,46.615531254792586,159.67305209778715,0.0,HMTD-MDE,124,case57,0.03
True,38,-0.04,False,20,20,False,38,True,0.6922803445505428,0.33872130982312226,0.5788272130587518,31.22227085113991,50.788168425788186,0.0,HMTD-MDE,125,case57,0.03
True,47,-0.04,False,20,20,False,0,False,0.8078158195545414,0.3835864297498238,0.5788272130587518,33.88086449995171,58.56456700421404,0.0,HMTD-MDE,126,case57,0.03
True,51,-0.04,False,20,20,False,0,False,0.782504072694383,0.3293668673935876,0.5788272130587518,38.215806148946285,81.3276190630859,0.0,HMTD-MDE,127,case57,0.03
True,23,0.04,True,0,0,False,0,False,0.7802957466141552,0.43265388915759845,0.5788272130587518,30.194710395880975,40.70045558037236,0.0,HMTD-MDE,128,case57,0.03
True,40,0.04,True,15,15,False,40,True,0.5849349901249098,0.19992131131045704,0.5788272130587518,38.490129148704,90.05600863602015,0.0,HMTD-MDE,129,case57,0.03
True,20,-0.04,False,20,20,False,19,False,0.35732502974571173,0.12815608956527744,0.5788272130587518,30.09058534516953,48.49537527188659,0.0,HMTD-MDE,130,case57,0.03
True,51,-0.04,False,20,20,False,0,False,0.7461039860801003,0.3413953005271381,0.5788272130587518,28.670281294034794,39.26896668563133,0.0,HMTD-MDE,131,case57,0.03
True,26,0.04,False,20,20,False,0,False,0.7918276685457921,0.42163639441558376,0.5788272130587518,31.070326999179088,50.90518326323945,0.0,HMTD-MDE,132,case57,0.03
True,43,-0.04,True,7,7,False,43,True,0.5154583461355018,0.20527759696608056,0.5788272130587518,29.426002045511268,44.80529576248956,0.0,HMTD-MDE,133,case57,0.03
True,54,-0.04,False,20,20,False,0,False,0.7715317049618525,0.4399349659902537,0.5788272130587518,29.110929049784318,41.4037329988787,0.0,HMTD-MDE,134,case57,0.03
True,32,0.04,False,20,20,False,0,False,0.7871375273600248,0.43683084426544505,0.5788272130587518,33.53734990814701,62.092651761486216,0.0,HMTD-MDE,135,case57,0.03
True,47,0.04,False,20,20,False,40,False,0.7769950897447782,0.3033987593254839,0.5788272130587518,30.66915415110998,47.4119107646402,0.0,HMTD-MDE,136,case57,0.03
True,51,0.04,True,2,2,False,0,False,0.7945044974101629,0.42102537982170185,0.5788272130587518,33.59431024873629,49.76162256789396,0.0,HMTD-MDE,137,case57,0.03
True,53,0.04,False,20,20,False,53,True,0.2898479692208327,0.09256610861037375,0.5788272130587518,33.47614575759508,52.833050358458436,0.0,HMTD-MDE,138,case57,0.03
True,54,0.04,False,20,20,False,45,False,0.7399661494168754,0.37423266125037413,0.5788272130587518,33.53366660303436,54.539455630583696,0.0,HMTD-MDE,139,case57,0.03
True,20,0.04,False,20,20,False,19,False,0.18980092455184222,0.059389655981464735,0.5788272130587518,33.56822689820547,55.312670531566255,0.0,HMTD-MDE,140,case57,0.03
True,52,0.04,False,20,20,False,53,False,0.22884603681378085,0.05130012506157884,0.5788272130587518,31.764516653493043,47.01803128700704,0.0,HMTD-MDE,141,case57,0.03
True,10,0.04,False,20,20,False,10,True,5.900646719881275e-10,0.011443192505144873,0.5788272130587518,32.468979197437875,53.531920799287036,0.0,HMTD-MDE,142,case57,0.03
True,12,-0.04,True,1,1,False,12,True,3.8671819781197475e-10,0.0022526340933676186,0.5788272130587518,33.49676050420385,55.50531486223918,0.0,HMTD-MDE,143,case57,0.03
True,10,0.04,True,9,9,False,10,True,3.867181978119985e-10,0.01144319249410907,0.5788272130587518,30.035668905475177,52.46259587001987,0.0,HMTD-MDE,144,case57,0.03
True,11,-0.04,True,1,1,False,11,True,3.867181703522202e-10,0.006476937030498863,0.5788272130587518,28.646564594237134,44.66989852371626,0.0,HMTD-MDE,145,case57,0.03
True,25,-0.04,False,20,20,False,0,False,0.8221039774816118,0.3518334327279175,0.5788272130587518,34.20531654555816,56.67694999137894,0.0,HMTD-MDE,146,case57,0.03
True,36,0.04,False,20,20,False,36,True,0.13032150302377216,0.011764413804021085,0.5788272130587518,28.61993960395921,39.28060556063432,0.0,HMTD-MDE,147,case57,0.03
True,44,-0.04,False,20,20,False,0,False,0.7955857185001471,0.4213831889597808,0.5788272130587518,33.689135406166315,52.90432057227012,0.0,HMTD-MDE,148,case57,0.03
True,24,0.04,False,20,20,False,0,False,0.7695057448510466,0.33063903838764325,0.5788272130587518,30.314681207528338,44.00546599063092,0.0,HMTD-MDE,149,case57,0.03
True,3,0.04,False,20,20,False,3,True,0.17062530384162009,0.03772851491709666,0.5788272130587518,32.34381054935511,57.820049993461005,0.0,HMTD-MDE,150,case57,0.03
True,42,0.04,False,20,20,False,0,False,0.7840417152592273,0.4305956831499972,0.5788272130587518,32.48244585120119,53.36665798677132,0.0,HMTD-MDE,151,case57,0.03
True,23,0.04,False,20,20,False,0,False,0.8122853148638349,0.3928078346988585,0.5788272130587518,28.113610559375957,40.741310748853735,0.0,HMTD-MDE,152,case57,0.03
True,45,0.04,False,20,20,False,0,False,0.7995652827961378,0.4032442714028527,0.5788272130587518,30.953283249982633,48.05136494105683,0.0,HMTD-MDE,153,case57,0.03
True,24,-0.04,False,20,20,False,29,False,0.6914021111145592,0.2782459597210081,0.5788272130587518,29.292995689320378,35.77726009243634,0.0,HMTD-MDE,154,case57,0.03
True,22,-0.04,False,20,20,False,45,False,0.7530306761846743,0.36605863009474504,0.5788272130587518,31.511414502165284,54.071518755517914,0.0,HMTD-MDE,155,case57,0.03
True,23,0.04,False,20,20,False,0,False,0.7763876353234839,0.4366570344104661,0.5788272130587518,29.990725152310915,47.99981315445621,0.0,HMTD-MDE,156,case57,0.03
True,54,0.04,False,20,20,False,0,False,0.8031589531750812,0.41952077378267566,0.5788272130587518,28.610356256831437,40.02352257084569,0.0,HMTD-MDE,157,case57,0.03
True,33,-0.04,False,20,20,False,0,False,0.7941486669053992,0.3939096146306711,0.5788272130587518,37.60992500174325,67.51246848725715,0.0,HMTD-MDE,158,case57,0.03
True,39,-0.04,False,20,20,False,0,False,0.7695919004368273,0.4447467777546382,0.5788272130587518,36.38157719979063,60.29468509950675,0.0,HMTD-MDE,159,case57,0.03
