attack_flag,h_true,c_true,detected,tau_detect,tau_detect_censored,false_alarm,h_hat_final,id_correct,final_entropy,final_ampvar,cumulative_act_cost,planner_runtime_ms_mean,planner_runtime_ms_p95,max_hide_error,algorithm,episode_id,case,sigma_rel
True,11,0.04,True,1,1,False,11,True,3.8671819781197475e-10,7.784713811649546e-05,0.6449621867960693,27.912804050720297,43.898561914102174,0.0,HMTD-MDE,66,case57,0.005
True,7,0.04,False,20,20,False,7,True,3.867180330576621e-10,0.011665826026726011,0.6449621867960693,32.94851250539068,60.72147704835516,0.0,HMTD-MDE,67,case57,0.005
True,7,-0.04,True,19,19,False,7,True,3.8671819781197475e-10,0.011665826026726002,0.6449621867960693,32.74927495222073,53.754641689010896,0.0,HMTD-MDE,68,case57,0.005
True,51,-0.04,True,9,9,False,51,True,0.15433386131757076,0.013649044518200591,0.6449621867960693,34.02862905350048,53.172651462955415,0.0,HMTD-MDE,69,case57,0.005
True,12,-0.04,True,1,1,False,12,True,3.8671819781197475e-10,1.652337231092268e-05,0.6449621867960693,28.80048755032476,52.09265353041701,0.0,HMTD-MDE,70,case57,0.005
True,17,-0.04,False,20,20,False,17,True,0.15947743362410144,0.019749867772137143,0.6449621867960693,30.58090216072742,50.05554548115471,0.0,HMTD-MDE,71,case57,0.005
True,35,0.04,True,1,1,False,35,True,3.8671808797186145e-10,0.00023937756299611992,0.6449621867960693,32.956829250906594,84.95947882474866,0.0,HMTD-MDE,72,case57,0.005
True,37,0.04,True,1,1,False,37,True,0.17293159881638187,0.004286966433897905,0.6449621867960693,31.57040635705925,44.915297310217284,0.0,HMTD-MDE,73,case57,0.005
True,11,0.04,True,1,1,False,11,True,3.8671819781197475e-10,7.784713811649546e-05,0.6449621867960693,29.722527042031288,50.45432916667779,0.0,HMTD-MDE,74,case57,0.005
True,43,-0.04,True,1,1,False,37,False,0.1721807382454774,0.004274098868256025,0.6449621867960693,37.37570210068952,71.57389759668153,0.0,HMTD-MDE,75,case57,0.005
True,39,0.04,False,20,20,False,39,True,0.020751957593375846,0.0541847991469188,0.6449621867960693,29.549712556763552,53.49728364672047,0.0,HMTD-MDE,76,case57,0.005
True,41,-0.04,True,1,1,False,41,True,0.0002753706652015834,0.00027705466585327485,0.6449621867960693,29.56255414756015,52.90195447159932,0.0,HMTD-MDE,77,case57,0.005
True,11,-0.04,True,1,1,False,11,True,3.8671819781197475e-10,7.784713811649546e-05,0.6449621867960693,29.59214999282267,48.51290441001767,0.0,HMTD-MDE,78,case57,0.005
True,24,0.04,True,1,1,False,34,False,0.4026072689319877,0.007346925135607909,0.6449621867960693,31.620904302690178,62.2883648989955,0.0,HMTD-MDE,79,case57,0.005
True,26,-0.04,False,20,20,False,0,False,0.4888170225967445,0.3772078840621763,0.6449621867960693,30.67843965254724,52.793039905373014,0.0,HMTD-MDE,80,case57,0.005
True,37,0.04,True,1,1,False,43,False,0.17670453405690445,0.004366555859917793,0.6449621867960693,30.86879795009736,44.45453190128319,0.0,HMTD-MDE,81,case57,0.005
True,26,-0.04,False,20,20,False,0,False,0.5311405588401779,0.35312515028462377,0.6449621867960693,29.923827145830728,53.29726698982996,0.0,HMTD-MDE,82,case57,0.005
True,20,-0.04,True,1,1,False,18,False,0.20690352976867504,0.00858527716349045,0.6449621867960693,31.35225854930468,56.960748546407586,0.0,HMTD-MDE,83,case57,0.005
True,54,0.04,False,20,20,False,54,True,0.10132940257411199,0.03037338713070305,0.6449621867960693,29.167416697600856,40.07791074109266,0.0,HMTD-MDE,84,case57,0.005
True,31,0.04,True,4,4,False,31,True,0.4098291119213804,0.014214676344954328,0.6449621867960693,30.466547902324237,52.42170833807904,0.0,HMTD-MDE,85,case57,0.005
True,28,0.04,True,11,11,False,28,True,0.0004815524298223064,0.009910870408076452,0.6449621867960693,33.15948125964496,62.43472885689701,0.0,HMTD-MDE,86,case57,0.005
True,26,-0.04,False,20,20,False,0,False,0.5170299628831545,0.36389424185041264,0.6449621867960693,30.272312494344078,55.21778898255434,0.0,HMTD-MDE,87,case57,0.005
True,17,-0.04,False,20,20,False,17,True,0.2891319932519721,0.014840707808287031,0.6449621867960693,32.792660396080464,43.750083254417405,0.0,HMTD-MDE,88,case57,0.005
True,55,-0.04,True,1,1,False,55,True,3.0491416252499076e-06,0.0003936570798539305,0.6449621867960693,34.88598335243296,52.74213692173363,0.0,HMTD-MDE,89,case57,0.005
True,11,0.04,True,1,1,False,11,True,3.8671819781197475e-10,7.784713811649546e-05,0.6449621867960693,31.06027484172955,49.2215229314752,0.0,HMTD-MDE,90,case57,0.005
True,48,-0.04,True,1,1,False,48,True,3.8671808797186145e-10,0.000953628856691581,0.6449621867960693,26.693510296172462,38.284822262357935,0.0,HMTD-MDE,91,case57,0.005
True,50,-0.04,True,1,1,False,49,False,0.029071929791792905,0.006634367146755506,0.6449621867960693,31.10074370051734,52.9916916129878,0.0,HMTD-MDE,92,case57,0.005
True,53,-0.04,True,1,1,False,51,False,0.12133299559570473,0.00780703192180253,0.6449621867960693,28.19063540082425,54.93450065841898,0.0,HMTD-MDE,93,case57,0.005
True,43,0.04,True,1,1,False,37,False,0.17147107328223785,0.004263962904880906,0.6449621867960693,29.67419174965471,56.646768414066194,0.0,HMTD-MDE,94,case57,0.005
True,40,-0.04,True,1,1,False,40,True,2.6864331440359077e-07,0.004983173657428464,0.6449621867960693,31.835654156748202,53.607780631864465,0.0,HMTD-MDE,95,case57,0.005
True,10,-0.04,True,1,1,False,10,True,3.8671819781197475e-10,0.00021045392980386027,0.6449621867960693,28.91486666048877,56.39142914733384,0.0,HMTD-MDE,96,case57,0.005
True,14,0.04,True,1,1,False,14,True,3.8671819781197475e-10,0.003115447415609492,0.6449621867960693,30.164075043285266,42.259022596408634,0.0,HMTD-MDE,97,case57,0.005
True,53,-0.04,True,1,1,False,51,False,0.26943373552956196,0.0043528920763276505,0.6449621867960693,34.07198339118622,63.35993269458413,0.0,HMTD-MDE,98,case57,0.005
True,49,-0.04,True,4,4,False,49,True,0.03604175589740193,0.0065928697298402285,0.6449621867960693,30.343485507182777,51.378246178501286,0.0,HMTD-MDE,99,case57,0.005
True,56,0.04,True,6,6,False,56,True,0.1714416009440448,0.007215719284532948,0.6449621867960693,32.08397735434119,59.8099482653197,0.0,HMTD-MDE,100,case57,0.005
True,17,-0.04,True,15,15,False,17,True,0.2565510553326243,0.015683240957114843,0.6449621867960693,30.82622090005316,56.457228839281015,0.0,HMTD-MDE,101,case57,0.005
True,12,0.04,True,1,1,False,12,True,3.8671819781197475e-10,1.652337231092268e-05,0.6449621867960693,29.94868970126845,42.24757473857609,0.0,HMTD-MDE,102,case57,0.005
True,48,-0.04,True,1,1,False,48,True,3.8671808797186145e-10,0.000953628856691581,0.6449621867960693,27.787624899065122,42.4816392158391,0.0,HMTD-MDE,103,case57,0.005
True,31,0.04,True,19,19,False,31,True,0.42400574119155077,0.011280304812177934,0.6449621867960693,28.896762401564047,39.32359729951714,0.0,HMTD-MDE,104,case57,0.005
True,31,0.04,False,20,20,False,31,True,0.4386803645217383,0.01144404645681318,0.6449621867960693,28.607968747382984,44.4721687701531,0.0,HMTD-MDE,105,case57,0.005
True,41,-0.04,True,1,1,False,41,True,0.0005329085105063743,0.00027706862014834945,0.6449621867960693,31.665733357658613,57.02937711030246,0.0,HMTD-MDE,106,case57,0.005
True,16,-0.04,False,20,20,False,0,False,0.48845030943485346,0.3147210553284319,0.6449621867960693,36.1246874963399,70.04855002742262,0.0,HMTD-MDE,107,case57,0.005
True,20,0.04,True,1,1,False,18,False,0.15589804744812946,0.009582340104081277,0.6449621867960693,34.79222504829522,60.621789598371876,0.0,HMTD-MDE,108,case57,0.005
True,50,0.04,True,1,1,False,49,False,0.08524563578591204,0.0062008117278289625,0.6449621867960693,31.06166659563314,54.486675391672186,0.0,HMTD-MDE,109,case57,0.005
True,17,0.04,True,7,7,False,17,True,0.16312635099082093,0.019680532931478714,0.6449621867960693,32.097591608180664,49.01292498980186,0.0,HMTD-MDE,110,case57,0.005
True,41,0.04,True,1,1,False,41,True,3.156445847744109e-07,0.0002770418378783731,0.6449621867960693,29.573518797405995,61.52752153284383,0.0,HMTD-MDE,111,case57,0.005
True,15,0.04,False,20,20,False,0,False,0.5439504565992663,0.32201208330679526,0.6449621867960693,29.10159605089575,45.52483159350233,0.0,HMTD-MDE,112,case57,0.005
True,12,-0.04,True,1,1,False,12,True,3.8671819781197475e-10,1.652337231092268e-05,0.6449621867960693,31.121670742868446,56.94095627113713,0.0,HMTD-MDE,113,case57,0.005
True,33,-0.04,False,20,20,False,33,True,0.24847120375944798,0.02473433023784658,0.6449621867960693,29.860256242682226,52.17831876070706,0.0,HMTD-MDE,114,case57,0.005
True,8,0.04,True,1,1,False,8,True,3.8671819781197475e-10,7.504628368689319e-05,0.6449621867960693,30.104643694357947,45.09050419146661,0.0,HMTD-MDE,115,case57,0.005
True,16,-0.04,False,20,20,False,16,True,0.46946976927837997,0.2650859111339739,0.6449621867960693,31.094537500757724,61.101294044055976,0.0,HMTD-MDE,116,case57,0.005
True,46,-0.04,False,20,20,False,0,False,0.4838179534952067,0.3799152050144675,0.6449621867960693,30.355072807287797,45.18135416146836,0.0,HMTD-MDE,117,case57,0.005
True,8,-0.04,True,1,1,False,8,True,3.8671819781197475e-10,7.504628368689319e-05,0.6449621867960693,32.42036670562811,51.04840175481514,0.0,HMTD-MDE,118,case57,0.005
True,20,0.04,True,1,1,False,18,False,0.24068346313645736,0.007625357232306211,0.6449621867960693,33.132497998303734,56.230454513570294,0.0,HMTD-MDE,119,case57,0.005
True,52,-0.04,True,1,1,False,51,False,0.10914371463415605,0.007945913223519499,0.6449621867960693,36.09080414462369,67.58885628369174,0.0,HMTD-MDE,120,case57,0.005
True,9,-0.04,True,1,1,False,9,True,3.8671819781197475e-10,0.0022435738309238046,0.6449621867960693,35.164589653140865,68.24316284910311,0.0,HMTD-MDE,121,case57,0.005
True,21,0.04,False,20,20,False,0,False,0.4845490583492926,0.3787190627071329,0.6449621867960693,33.364516697474755,60.4964434489375,0.0,HMTD-MDE,122,case57,0.005
True,43,0.04,True,1,1,False,37,False,0.1715369072497968,0.004264724469653604,0.6449621867960693,29.785039648413658,64.17319583997596,0.0,HMTD-MDE,123,case57,0.005
True,18,-0.04,True,9,9,False,18,True,0.1973358149903897,0.016842787309167478,0.6449621867960693,35.8685916493414,72.75662914908025,0.0,HMTD-MDE,124,case57,0.005
True,38,-0.04,True,1,1,False,38,True,0.1714416009440448,0.007215719284532948,0.6449621867960693,31.464568796218373,58.09513122658245,0.0,HMTD-MDE,125,case57,0.005
True,47,-0.04,False,20,20,False,0,False,0.537236051890581,0.3014602731072658,0.6449621867960693,28.88173119572457,51.07695864571724,0.0,HMTD-MDE,126,case57,0.005
True,51,-0.04,True,14,14,False,51,True,0.13737786665564763,0.014338669054336624,0.6449621867960693,33.11068339680787,72.80772562953644,0.0,HMTD-MDE,127,case57,0.005
True,23,0.04,True,0,0,False,0,False,0.5170152486585909,0.3629386315869066,0.6449621867960693,29.09834164311178,52.180377044714994,0.0,HMTD-MDE,128,case57,0.005
True,40,0.04,True,1,1,False,40,True,3.393868653285251e-06,0.004983169749680973,0.6449621867960693,34.68310419411864,54.855122620938374,0.0,HMTD-MDE,129,case57,0.005
True,20,-0.04,True,1,1,False,20,True,0.2540824786903719,0.003999326651830352,0.6449621867960693,32.61506240523886,55.62579405959698,0.0,HMTD-MDE,130,case57,0.005
True,51,-0.04,True,3,3,False,51,True,0.15782823775296714,0.017042289797372344,0.6449621867960693,30.21758960094303,54.04354580387009,0.0,HMTD-MDE,131,case57,0.005
True,26,0.04,False,20,20,False,0,False,0.4873402531083196,0.377158739629184,0.6449621867960693,28.702220850391313,45.268661068985246,0.0,HMTD-MDE,132,case57,0.005
True,43,-0.04,True,1,1,False,43,True,0.17467157095905297,0.0043211710790444936,0.6449621867960693,30.20719369815197,61.12883723108098,0.0,HMTD-MDE,133,case57,0.005
True,54,-0.04,False,20,20,False,54,True,0.07824992080646373,0.032339130165111904,0.6449621867960693,29.37787496484816,40.8249017491471,0.0,HMTD-MDE,134,case57,0.005
True,32,0.04,False,20,20,False,0,False,0.5203833965848526,0.35748972680726077,0.6449621867960693,32.99128735088743,48.93609760329128,0.0,HMTD-MDE,135,case57,0.005
True,47,0.04,False,20,20,False,0,False,0.5190877419543259,0.36518113674471586,0.6449621867960693,36.49828965135384,60.09717772249133,0.0,HMTD-MDE,136,case57,0.005
True,51,0.04,True,2,2,False,51,True,0.16685825127520856,0.018521733555939335,0.6449621867960693,33.18896239507012,44.15170586435125,0.0,HMTD-MDE,137,case57,0.005
True,53,0.04,True,1,1,False,51,False,0.036198570732021186,0.008604892350721307,0.6449621867960693,35.289056348847225,60.17235385952519,0.0,HMTD-MDE,138,case57,0.005
True,54,0.04,False,20,20,False,54,True,0.08899694338490179,0.031084981364709715,0.6449621867960693,34.38347915362101,68.18522147077603,0.0,HMTD-MDE,139,case57,0.005
True,20,0.04,True,1,1,False,18,False,0.26163041541100795,0.006697069235719862,0.6449621867960693,29.933812597300857,50.6946708803298,0.0,HMTD-MDE,140,case57,0.005
True,52,0.04,True,1,1,False,51,False,0.06813845881193908,0.008351383822737046,0.6449621867960693,29.51754360983614,43.92763512150852,0.0,HMTD-MDE,141,case57,0.005
True,10,0.04,True,1,1,False,10,True,3.8671819781197475e-10,0.00021045392980386027,0.6449621867960693,32.761720853159204,56.97823483496906,0.0,HMTD-MDE,142,case57,0.005
True,12,-0.04,True,1,1,False,12,True,3.8671819781197475e-10,1.652337231092268e-05,0.6449621867960693,31.372014599037357,67.81755557167344,0.0,HMTD-MDE,143,case57,0.005
True,10,0.04,True,1,1,False,10,True,3.8671819781197475e-10,0.00021045392980386027,0.6449621867960693,28.082452050875872,43.94752708612942,0.0,HMTD-MDE,144,case57,0.005
True,11,-0.04,True,1,1,False,11,True,3.8671819781197475e-10,7.784713811649546e-05,0.6449621867960693,29.05443954805378,36.948568731895676,0.0,HMTD-MDE,145,case57,0.005
True,25,-0.04,False,20,20,False,0,False,0.5132975705683063,0.3433145026753427,0.6449621867960693,30.88140204490628,51.4834431523923,0.0,HMTD-MDE,146,case57,0.005
True,36,0.04,True,1,1,False,36,True,3.867180879718624e-10,0.0002656380861647126,0.6449621867960693,31.00480830471497,54.2604691174347,0.0,HMTD-MDE,147,case57,0.005
True,44,-0.04,False,20,20,False,44,True,0.022583949082598156,0.0325172757540218,0.6449621867960693,28.532451958744787,46.82505654054695,0.0,HMTD-MDE,148,case57,0.005
True,24,0.04,True,1,1,False,31,False,0.39717567270360155,0.007840432053771757,0.6449621867960693,26.93711045430973,39.53404204221442,0.0,HMTD-MDE,149,case57,0.005
True,3,0.04,True,1,1,False,3,True,3.8671819781197475e-10,0.0012696442911119545,0.6449621867960693,31.786587592796423,46.34910035820212,0.0,HMTD-MDE,150,case57,0.005
True,42,0.04,False,20,20,False,42,True,3.8671808797218907e-10,0.015781698546599703,0.6449621867960693,33.70396870013792,51.744669047184296,0.0,HMTD-MDE,151,case57,0.005
True,23,0.04,False,20,20,False,0,False,0.5363935832854179,0.35917529958907796,0.6449621867960693,37.305866758106276,54.357947321841515,0.0,HMTD-MDE,152,case57,0.005
True,45,0.04,True,7,7,False,45,True,3.8671808797193554e-10,0.010458991147358978,0.6449621867960693,32.00485824781936,59.157006253371954,0.0,HMTD-MDE,153,case57,0.005
True,24,-0.04,True,1,1,False,31,False,0.40136949213418055,0.007630491394325549,0.6449621867960693,31.50348344934173,49.641989587689764,0.0,HMTD-MDE,154,case57,0.005
True,22,-0.04,False,20,20,False,0,False,0.5834830277088919,0.30460034942843306,0.6449621867960693,32.651635599904694,60.481377120595425,0.0,HMTD-MDE,155,case57,0.005
True,23,0.04,False,20,20,False,0,False,0.4851363689739408,0.3752582910116299,0.6449621867960693,26.8403209047392,44.37134342442733,0.0,HMTD-MDE,156,case57,0.005
True,54,0.04,False,20,20,False,54,True,0.16047974224677417,0.02618978707033457,0.6449621867960693,28.012624953407794,44.161031598923735,0.0,HMTD-MDE,157,case57,0.005
